l,r,CCS
L3890,L3890,243
L3891,L3891,243
L3900,L3900,243
L3901,L3901,243
L3902,L3902,243
L3904,L3904,243
L3905,L3905,243
L3906,L3906,243
L3907,L3907,243
L3908,L3908,243
L3909,L3909,243
L3910,L3910,243
L3911,L3911,243
L3912,L3912,243
L3913,L3913,243
L3914,L3914,243
L3915,L3915,243
L3916,L3916,243
L3917,L3917,243
L3918,L3918,243
L3919,L3919,243
L3920,L3920,243
L3921,L3921,243
L3922,L3922,243
L3923,L3923,243
L3924,L3924,243
L3925,L3925,243
L3926,L3926,243
L3927,L3927,243
L3928,L3928,243
L3929,L3929,243
L3930,L3930,243
L3931,L3931,243
L3932,L3932,243
L3933,L3933,243
L3934,L3934,243
L3935,L3935,243
L3936,L3936,243
L3938,L3938,243
L3940,L3940,243
L3942,L3942,243
L3944,L3944,243
L3946,L3946,243
L3948,L3948,243
L3950,L3950,243
L3952,L3952,243
L3954,L3954,243
L3956,L3956,243
L3960,L3960,243
L3961,L3961,243
L3962,L3962,243
L3963,L3963,243
L3964,L3964,243
L3965,L3965,243
L3966,L3966,243
L3967,L3967,243
L3968,L3968,243
L3969,L3969,243
L3970,L3970,243
L3971,L3971,243
L3972,L3972,243
L3973,L3973,243
L3974,L3974,243
L3975,L3975,243
L3976,L3976,243
L3977,L3977,243
L3978,L3978,243
L3980,L3980,243
L3981,L3981,243
L3982,L3982,243
L3984,L3984,243
L3985,L3985,243
L3986,L3986,243
L3995,L3995,243
L3999,L3999,243
L4000,L4000,243
L4002,L4002,243
L4010,L4010,243
L4020,L4020,243
L4030,L4030,243
L4040,L4040,243
L4045,L4045,243
L4050,L4050,243
L4055,L4055,243
L4060,L4060,243
L4070,L4070,243
L4080,L4080,243
L4090,L4090,243
L4100,L4100,243
L4110,L4110,243
L4130,L4130,243
L4205,L4205,243
L4210,L4210,243
L4350,L4350,243
L4360,L4360,243
L4361,L4361,243
L4370,L4370,243
L4380,L4380,243
L4386,L4386,243
L4387,L4387,243
L4392,L4392,243
L4394,L4394,243
L4396,L4396,243
L4397,L4397,243
L4398,L4398,243
L4631,L4631,243
L5000,L5000,243
L5010,L5010,243
L5020,L5020,243
L5050,L5050,243
L5060,L5060,243
L5100,L5100,243
L5105,L5105,243
L5150,L5150,243
L5160,L5160,243
L5200,L5200,243
L5210,L5210,243
L5220,L5220,243
L5230,L5230,243
L5250,L5250,243
L5270,L5270,243
L5280,L5280,243
L5300,L5300,243
L5301,L5301,243
L5310,L5310,243
L5311,L5311,243
L5312,L5312,243
L5320,L5320,243
L5321,L5321,243
L5330,L5330,243
L5331,L5331,243
L5340,L5340,243
L5341,L5341,243
L5400,L5400,243
L5410,L5410,243
L5420,L5420,243
L5430,L5430,243
L5450,L5450,243
L5460,L5460,243
L5500,L5500,243
L5505,L5505,243
L5510,L5510,243
L5520,L5520,243
L5530,L5530,243
L5535,L5535,243
L5540,L5540,243
L5560,L5560,243
L5570,L5570,243
L5580,L5580,243
L5585,L5585,243
L5590,L5590,243
L5595,L5595,243
L5600,L5600,243
L5610,L5610,243
L5611,L5611,243
L5613,L5613,243
L5614,L5614,243
L5616,L5616,243
L5617,L5617,243
L5618,L5618,243
L5620,L5620,243
L5622,L5622,243
L5624,L5624,243
L5626,L5626,243
L5628,L5628,243
L5629,L5629,243
L5630,L5630,243
L5631,L5631,243
L5632,L5632,243
L5634,L5634,243
L5636,L5636,243
L5637,L5637,243
L5638,L5638,243
L5639,L5639,243
L5640,L5640,243
L5642,L5642,243
L5643,L5643,243
L5644,L5644,243
L5645,L5645,243
L5646,L5646,243
L5647,L5647,243
L5648,L5648,243
L5649,L5649,243
L5650,L5650,243
L5651,L5651,243
L5652,L5652,243
L5653,L5653,243
L5654,L5654,243
L5655,L5655,243
L5656,L5656,243
L5658,L5658,243
L5660,L5660,243
L5661,L5661,243
L5662,L5662,243
L5663,L5663,243
L5664,L5664,243
L5665,L5665,243
L5666,L5666,243
L5667,L5667,243
L5668,L5668,243
L5669,L5669,243
L5670,L5670,243
L5671,L5671,243
L5672,L5672,243
L5673,L5673,243
L5674,L5674,243
L5675,L5675,243
L5676,L5676,243
L5677,L5677,243
L5678,L5678,243
L5679,L5679,243
L5680,L5680,243
L5681,L5681,243
L5682,L5682,243
L5683,L5683,243
L5684,L5684,243
L5685,L5685,243
L5686,L5686,243
L5688,L5688,243
L5690,L5690,243
L5692,L5692,243
L5694,L5694,243
L5695,L5695,243
L5696,L5696,243
L5697,L5697,243
L5698,L5698,243
L5699,L5699,243
L5700,L5700,243
L5701,L5701,243
L5702,L5702,243
L5703,L5703,243
L5704,L5704,243
L5705,L5705,243
L5706,L5706,243
L5707,L5707,243
L5710,L5710,243
L5711,L5711,243
L5712,L5712,243
L5714,L5714,243
L5716,L5716,243
L5718,L5718,243
L5722,L5722,243
L5724,L5724,243
L5726,L5726,243
L5728,L5728,243
L5780,L5780,243
L5781,L5781,243
L5782,L5782,243
L5785,L5785,243
L5790,L5790,243
L5795,L5795,243
L5810,L5810,243
L5811,L5811,243
L5812,L5812,243
L5814,L5814,243
L5816,L5816,243
L5818,L5818,243
L5822,L5822,243
L5824,L5824,243
L5826,L5826,243
L5828,L5828,243
L5830,L5830,243
L5840,L5840,243
L5845,L5845,243
L5846,L5846,243
L5847,L5847,243
L5848,L5848,243
L5850,L5850,243
L5855,L5855,243
L5856,L5856,243
L5857,L5857,243
L5858,L5858,243
L5859,L5859,243
L5910,L5910,243
L5920,L5920,243
L5925,L5925,243
L5930,L5930,243
L5940,L5940,243
L5950,L5950,243
L5960,L5960,243
L5961,L5961,243
L5962,L5962,243
L5964,L5964,243
L5966,L5966,243
L5968,L5968,243
L5969,L5969,243
L5970,L5970,243
L5971,L5971,243
L5972,L5972,243
L5973,L5973,243
L5974,L5974,243
L5975,L5975,243
L5976,L5976,243
L5978,L5978,243
L5979,L5979,243
L5980,L5980,243
L5981,L5981,243
L5982,L5982,243
L5984,L5984,243
L5985,L5985,243
L5986,L5986,243
L5987,L5987,243
L5988,L5988,243
L5989,L5989,243
L5990,L5990,243
L5993,L5993,243
L5994,L5994,243
L5995,L5995,243
L5999,L5999,243
L6000,L6000,243
L6010,L6010,243
L6020,L6020,243
L6025,L6025,243
L6026,L6026,243
L6050,L6050,243
L6055,L6055,243
L6100,L6100,243
L6110,L6110,243
L6120,L6120,243
L6130,L6130,243
L6200,L6200,243
L6205,L6205,243
L6250,L6250,243
L6300,L6300,243
L6310,L6310,243
L6320,L6320,243
L6350,L6350,243
L6360,L6360,243
L6370,L6370,243
L6380,L6380,243
L6382,L6382,243
L6384,L6384,243
L6386,L6386,243
L6388,L6388,243
L6400,L6400,243
L6450,L6450,243
L6500,L6500,243
L6550,L6550,243
L6570,L6570,243
L6580,L6580,243
L6582,L6582,243
L6584,L6584,243
L6586,L6586,243
L6588,L6588,243
L6590,L6590,243
L6600,L6600,243
L6605,L6605,243
L6610,L6610,243
L6611,L6611,243
L6615,L6615,243
L6616,L6616,243
L6620,L6620,243
L6621,L6621,243
L6623,L6623,243
L6624,L6624,243
L6625,L6625,243
L6628,L6628,243
L6629,L6629,243
L6630,L6630,243
L6632,L6632,243
L6635,L6635,243
L6637,L6637,243
L6638,L6638,243
L6639,L6639,243
L6640,L6640,243
L6641,L6641,243
L6642,L6642,243
L6645,L6645,243
L6646,L6646,243
L6647,L6647,243
L6648,L6648,243
L6650,L6650,243
L6655,L6655,243
L6660,L6660,243
L6665,L6665,243
L6670,L6670,243
L6672,L6672,243
L6675,L6675,243
L6676,L6676,243
L6677,L6677,243
L6680,L6680,243
L6682,L6682,243
L6684,L6684,243
L6686,L6686,243
L6687,L6687,243
L6688,L6688,243
L6689,L6689,243
L6690,L6690,243
L6691,L6691,243
L6692,L6692,243
L6693,L6693,243
L6694,L6694,243
L6695,L6695,243
L6696,L6696,243
L6697,L6697,243
L6698,L6698,243
L6700,L6700,243
L6703,L6703,243
L6704,L6704,243
L6705,L6705,243
L6706,L6706,243
L6707,L6707,243
L6708,L6708,243
L6709,L6709,243
L6710,L6710,243
L6711,L6711,243
L6712,L6712,243
L6713,L6713,243
L6714,L6714,243
L6715,L6715,243
L6720,L6720,243
L6721,L6721,243
L6722,L6722,243
L6725,L6725,243
L6730,L6730,243
L6735,L6735,243
L6740,L6740,243
L6745,L6745,243
L6750,L6750,243
L6755,L6755,243
L6765,L6765,243
L6770,L6770,243
L6775,L6775,243
L6780,L6780,243
L6790,L6790,243
L6795,L6795,243
L6800,L6800,243
L6805,L6805,243
L6806,L6806,243
L6807,L6807,243
L6808,L6808,243
L6809,L6809,243
L6810,L6810,243
L6825,L6825,243
L6830,L6830,243
L6835,L6835,243
L6840,L6840,243
L6845,L6845,243
L6850,L6850,243
L6855,L6855,243
L6860,L6860,243
L6865,L6865,243
L6867,L6867,243
L6868,L6868,243
L6870,L6870,243
L6872,L6872,243
L6873,L6873,243
L6875,L6875,243
L6880,L6880,243
L6881,L6881,243
L6882,L6882,243
L6883,L6883,243
L6884,L6884,243
L6885,L6885,243
L6890,L6890,243
L6895,L6895,243
L6900,L6900,243
L6905,L6905,243
L6910,L6910,243
L6915,L6915,243
L6920,L6920,243
L6925,L6925,243
L6930,L6930,243
L6935,L6935,243
L6940,L6940,243
L6945,L6945,243
L6950,L6950,243
L6955,L6955,243
L6960,L6960,243
L6965,L6965,243
L6970,L6970,243
L6975,L6975,243
L7007,L7007,243
L7008,L7008,243
L7009,L7009,243
L7010,L7010,243
L7015,L7015,243
L7020,L7020,243
L7025,L7025,243
L7030,L7030,243
L7035,L7035,243
L7040,L7040,243
L7045,L7045,243
L7170,L7170,243
L7180,L7180,243
L7181,L7181,243
L7185,L7185,243
L7186,L7186,243
L7190,L7190,243
L7191,L7191,243
L7259,L7259,243
L7260,L7260,243
L7261,L7261,243
L7266,L7266,243
L7272,L7272,243
L7274,L7274,243
L7360,L7360,243
L7362,L7362,243
L7364,L7364,243
L7366,L7366,243
L7367,L7367,243
L7368,L7368,243
L7400,L7400,243
L7401,L7401,243
L7402,L7402,243
L7403,L7403,243
L7404,L7404,243
L7405,L7405,243
L7499,L7499,243
L7500,L7500,243
L7510,L7510,243
L7520,L7520,243
L7600,L7600,243
L7611,L7611,243
L7612,L7612,243
L7613,L7613,243
L7614,L7614,243
L7621,L7621,243
L7622,L7622,243
L7700,L7700,243
L7900,L7900,243
L7902,L7902,243
L8000,L8000,243
L8001,L8001,243
L8002,L8002,243
L8010,L8010,243
L8015,L8015,243
L8020,L8020,243
L8030,L8030,243
L8031,L8031,243
L8032,L8032,243
L8035,L8035,243
L8039,L8039,243
L8040,L8040,243
L8041,L8041,243
L8042,L8042,243
L8043,L8043,243
L8044,L8044,243
L8045,L8045,243
L8046,L8046,243
L8047,L8047,243
L8048,L8048,243
L8049,L8049,243
L8100,L8100,243
L8110,L8110,243
L8120,L8120,243
L8130,L8130,243
L8140,L8140,243
L8150,L8150,243
L8160,L8160,243
L8170,L8170,243
L8180,L8180,243
L8190,L8190,243
L8195,L8195,243
L8200,L8200,243
L8210,L8210,243
L8220,L8220,243
L8230,L8230,243
L8239,L8239,243
L8300,L8300,243
L8310,L8310,243
L8320,L8320,243
L8330,L8330,243
L8400,L8400,243
L8410,L8410,243
L8415,L8415,243
L8417,L8417,243
L8420,L8420,243
L8430,L8430,243
L8435,L8435,243
L8440,L8440,243
L8460,L8460,243
L8465,L8465,243
L8470,L8470,243
L8480,L8480,243
L8485,L8485,243
L8490,L8490,243
L8499,L8499,243
L8500,L8500,243
L8501,L8501,243
L8505,L8505,243
L8507,L8507,243
L8509,L8509,243
L8510,L8510,243
L8511,L8511,243
L8512,L8512,243
L8513,L8513,243
L8514,L8514,243
L8515,L8515,243
L8600,L8600,243
L8603,L8603,243
L8604,L8604,243
L8605,L8605,243
L8606,L8606,243
L8607,L8607,243
L8608,L8608,243
L8609,L8609,243
L8610,L8610,243
L8612,L8612,243
L8613,L8613,243
L8614,L8614,243
L8615,L8615,243
L8616,L8616,243
L8617,L8617,243
L8618,L8618,243
L8619,L8619,243
L8620,L8620,243
L8621,L8621,243
L8622,L8622,243
L8623,L8623,243
L8624,L8624,243
L8625,L8625,243
L8627,L8627,243
L8628,L8628,243
L8629,L8629,243
L8630,L8630,243
L8631,L8631,243
L8641,L8641,243
L8642,L8642,243
L8658,L8658,243
L8659,L8659,243
L8670,L8670,243
L8679,L8679,243
L8680,L8680,243
L8681,L8681,243
L8682,L8682,243
L8683,L8683,243
L8684,L8684,243
L8685,L8685,243
L8686,L8686,243
L8687,L8687,243
L8688,L8688,243
L8689,L8689,243
L8690,L8690,242
L8691,L8691,242
L8692,L8692,243
L8693,L8693,243
L8694,L8694,243
L8695,L8695,243
L8696,L8696,243
L8698,L8698,243
L8699,L8699,243
L8701,L8701,243
L8702,L8702,243
L9900,L9900,243
M0064,M0064,218
M0075,M0075,240
M0076,M0076,156
M0100,M0100,93
M0300,M0300,63
M0301,M0301,61
M0302,M0302,62
P2028,P2028,233
P2029,P2029,235
P2031,P2031,235
P2033,P2033,233
P2038,P2038,233
P3000,P3000,234
P3001,P3001,234
P7001,P7001,206
P9010,P9010,222
P9011,P9011,222
P9012,P9012,222
P9013,P9013,222
P9016,P9016,222
P9017,P9017,222
P9018,P9018,222
P9019,P9019,222
P9020,P9020,222
P9021,P9021,222
P9022,P9022,222
P9023,P9023,222
P9031,P9031,222
P9032,P9032,222
P9033,P9033,222
P9034,P9034,222
P9035,P9035,222
P9036,P9036,222
P9037,P9037,222
P9038,P9038,222
P9039,P9039,222
P9040,P9040,222
P9041,P9041,222
P9042,P9042,222
P9043,P9043,222
P9044,P9044,243
P9045,P9045,222
P9046,P9046,222
P9047,P9047,222
P9048,P9048,222
P9050,P9050,222
P9051,P9051,222
P9052,P9052,222
P9053,P9053,222
P9054,P9054,222
P9055,P9055,222
P9056,P9056,222
P9057,P9057,222
P9058,P9058,222
P9059,P9059,222
P9060,P9060,222
P9070,P9070,222
P9071,P9071,222
P9072,P9072,222
P9073,P9073,222
P9100,P9100,222
P9603,P9603,239
P9604,P9604,239
P9612,P9612,110
P9615,P9615,110
Q0034,Q0034,228
Q0035,Q0035,201
Q0068,Q0068,231
Q0081,Q0081,231
Q0082,Q0082,213
Q0083,Q0083,224
Q0084,Q0084,224
Q0085,Q0085,224
Q0086,Q0086,212
Q0090,Q0090,240
Q0091,Q0091,234
Q0092,Q0092,226
Q0111,Q0111,234
Q0112,Q0112,206
Q0113,Q0113,206
Q0114,Q0114,138
Q0115,Q0115,206
Q0132,Q0132,243
Q0136,Q0136,240
Q0137,Q0137,240
Q0138,Q0138,240
Q0139,Q0139,240
Q0144,Q0144,240
Q0156,Q0156,222
Q0157,Q0157,222
Q0160,Q0160,243
Q0161,Q0161,240
Q0162,Q0162,240
Q0163,Q0163,240
Q0164,Q0164,240
Q0165,Q0165,240
Q0166,Q0166,240
Q0167,Q0167,240
Q0168,Q0168,240
Q0169,Q0169,240
Q0170,Q0170,240
Q0171,Q0171,240
Q0172,Q0172,240
Q0173,Q0173,240
Q0174,Q0174,240
Q0175,Q0175,240
Q0176,Q0176,240
Q0177,Q0177,240
Q0178,Q0178,240
Q0179,Q0179,240
Q0180,Q0180,240
Q0181,Q0181,240
Q0182,Q0182,243
Q0183,Q0183,243
Q0184,Q0184,243
Q0185,Q0185,243
Q0186,Q0186,239
Q0187,Q0187,243
Q0188,Q0188,243
Q0477,Q0477,243
Q0478,Q0478,243
Q0479,Q0479,243
Q0480,Q0480,243
Q0481,Q0481,243
Q0482,Q0482,243
Q0483,Q0483,243
Q0484,Q0484,243
Q0485,Q0485,243
Q0486,Q0486,243
Q0487,Q0487,243
Q0488,Q0488,243
Q0489,Q0489,243
Q0490,Q0490,243
Q0491,Q0491,243
Q0492,Q0492,243
Q0493,Q0493,243
Q0494,Q0494,243
Q0495,Q0495,243
Q0496,Q0496,243
Q0497,Q0497,243
Q0498,Q0498,243
Q0499,Q0499,243
Q0500,Q0500,243
Q0501,Q0501,243
Q0502,Q0502,243
Q0503,Q0503,243
Q0504,Q0504,243
Q0505,Q0505,243
Q0506,Q0506,243
Q0507,Q0507,243
Q0508,Q0508,243
Q0509,Q0509,243
Q0510,Q0510,240
Q0511,Q0511,240
Q0512,Q0512,240
Q0513,Q0513,240
Q0514,Q0514,240
Q0515,Q0515,240
Q1001,Q1001,241
Q1002,Q1002,241
Q1003,Q1003,241
Q1004,Q1004,241
Q1005,Q1005,241
Q2001,Q2001,240
Q2002,Q2002,240
Q2003,Q2003,240
Q2004,Q2004,243
Q2005,Q2005,240
Q2006,Q2006,240
Q2007,Q2007,240
Q2008,Q2008,240
Q2009,Q2009,240
Q2010,Q2010,240
Q2011,Q2011,240
Q2012,Q2012,240
Q2013,Q2013,240
Q2014,Q2014,240
Q2015,Q2015,240
Q2016,Q2016,240
Q2017,Q2017,240
Q2018,Q2018,240
Q2019,Q2019,240
Q2020,Q2020,240
Q2021,Q2021,240
Q2022,Q2022,240
Q2023,Q2023,240
Q2024,Q2024,240
Q2025,Q2025,240
Q2026,Q2026,240
Q2027,Q2027,240
Q2028,Q2028,240
Q2034,Q2034,228
Q2035,Q2035,228
Q2036,Q2036,228
Q2037,Q2037,228
Q2038,Q2038,228
Q2039,Q2039,228
Q2040,Q2040,240
Q2041,Q2041,240
Q2042,Q2042,240
Q2043,Q2043,240
Q2044,Q2044,240
Q2045,Q2045,240
Q2046,Q2046,240
Q2047,Q2047,240
Q2048,Q2048,240
Q2049,Q2049,240
Q2050,Q2050,240
Q2052,Q2052,240
Q3000,Q3000,243
Q3001,Q3001,243
Q3002,Q3002,243
Q3003,Q3003,243
Q3004,Q3004,243
Q3005,Q3005,243
Q3006,Q3006,243
Q3007,Q3007,243
Q3008,Q3008,243
Q3009,Q3009,243
Q3010,Q3010,243
Q3011,Q3011,243
Q3012,Q3012,243
Q3013,Q3013,240
Q3014,Q3014,237
Q3017,Q3017,239
Q3019,Q3019,239
Q3020,Q3020,239
Q3021,Q3021,228
Q3022,Q3022,228
Q3023,Q3023,228
Q3025,Q3025,240
Q3026,Q3026,240
Q3027,Q3027,240
Q3028,Q3028,240
Q3030,Q3030,240
Q3031,Q3031,235
Q4001,Q4001,243
Q4002,Q4002,243
Q4003,Q4003,243
Q4004,Q4004,243
Q4005,Q4005,243
Q4006,Q4006,243
Q4007,Q4007,243
Q4008,Q4008,243
Q4009,Q4009,243
Q4010,Q4010,243
Q4011,Q4011,243
Q4012,Q4012,243
Q4013,Q4013,243
Q4014,Q4014,243
Q4015,Q4015,243
Q4016,Q4016,243
Q4017,Q4017,243
Q4018,Q4018,243
Q4019,Q4019,243
Q4020,Q4020,243
Q4021,Q4021,243
Q4022,Q4022,243
Q4023,Q4023,243
Q4024,Q4024,243
Q4025,Q4025,243
Q4026,Q4026,243
Q4027,Q4027,243
Q4028,Q4028,243
Q4029,Q4029,243
Q4030,Q4030,243
Q4031,Q4031,243
Q4032,Q4032,243
Q4033,Q4033,243
Q4034,Q4034,243
Q4035,Q4035,243
Q4036,Q4036,243
Q4037,Q4037,243
Q4038,Q4038,243
Q4039,Q4039,243
Q4040,Q4040,243
Q4041,Q4041,243
Q4042,Q4042,243
Q4043,Q4043,243
Q4044,Q4044,243
Q4045,Q4045,243
Q4046,Q4046,243
Q4047,Q4047,243
Q4048,Q4048,243
Q4049,Q4049,243
Q4050,Q4050,243
Q4051,Q4051,243
Q4052,Q4052,240
Q4053,Q4053,240
Q4054,Q4054,240
Q4055,Q4055,240
Q4074,Q4074,240
Q4075,Q4075,240
Q4076,Q4076,240
Q4077,Q4077,240
Q4078,Q4078,243
Q4079,Q4079,240
Q4080,Q4080,243
Q4081,Q4081,240
Q4082,Q4082,240
Q4083,Q4083,240
Q4084,Q4084,240
Q4085,Q4085,240
Q4086,Q4086,240
Q4087,Q4087,240
Q4088,Q4088,240
Q4089,Q4089,240
Q4090,Q4090,240
Q4091,Q4091,240
Q4092,Q4092,240
Q4093,Q4093,240
Q4094,Q4094,240
Q4095,Q4095,240
Q4096,Q4096,240
Q4097,Q4097,240
Q4098,Q4098,240
Q4099,Q4099,240
Q4100,Q4100,243
Q4101,Q4101,243
Q4102,Q4102,243
Q4103,Q4103,243
Q4104,Q4104,243
Q4105,Q4105,243
Q4106,Q4106,243
Q4107,Q4107,243
Q4108,Q4108,243
Q4109,Q4109,243
Q4110,Q4110,243
Q4111,Q4111,243
Q4112,Q4112,243
Q4113,Q4113,243
Q4114,Q4114,243
Q4115,Q4115,243
Q4116,Q4116,243
Q4117,Q4117,243
Q4118,Q4118,243
Q4119,Q4119,243
Q4120,Q4120,243
Q4121,Q4121,243
Q4122,Q4122,243
Q4123,Q4123,243
Q4124,Q4124,243
Q4125,Q4125,243
Q4126,Q4126,243
Q4127,Q4127,243
Q4128,Q4128,243
Q4129,Q4129,243
Q4130,Q4130,243
Q4131,Q4131,243
Q4132,Q4132,243
Q4133,Q4133,243
Q4134,Q4134,243
Q4135,Q4135,243
Q4136,Q4136,243
Q4137,Q4137,243
Q4138,Q4138,243
Q4139,Q4139,243
Q4140,Q4140,243
Q4141,Q4141,243
Q4142,Q4142,243
Q4143,Q4143,243
Q4145,Q4145,243
Q4146,Q4146,243
Q4147,Q4147,243
Q4148,Q4148,243
Q4149,Q4149,243
Q4150,Q4150,243
Q4151,Q4151,243
Q4152,Q4152,243
Q4153,Q4153,243
Q4154,Q4154,243
Q4155,Q4155,243
Q4156,Q4156,243
Q4157,Q4157,243
Q4158,Q4158,243
Q4159,Q4159,243
Q4160,Q4160,243
Q4161,Q4161,243
Q4162,Q4162,243
Q4163,Q4163,243
Q4164,Q4164,243
Q4165,Q4165,243
Q4166,Q4166,243
Q4167,Q4167,243
Q4168,Q4168,243
Q4169,Q4169,243
Q4170,Q4170,243
Q4171,Q4171,243
Q4172,Q4172,243
Q4173,Q4173,243
Q4174,Q4174,243
Q4175,Q4175,243
Q4176,Q4176,243
Q4177,Q4177,243
Q4178,Q4178,243
Q4179,Q4179,243
Q4180,Q4180,243
Q4181,Q4181,243
Q4182,Q4182,243
Q4183,Q4183,243
Q4184,Q4184,243
Q4185,Q4185,243
Q4186,Q4186,243
Q4187,Q4187,243
Q4188,Q4188,243
Q4189,Q4189,243
Q4190,Q4190,243
Q4191,Q4191,243
Q4192,Q4192,243
Q4193,Q4193,243
Q4194,Q4194,243
Q4195,Q4195,243
Q4196,Q4196,243
Q4197,Q4197,243
Q4198,Q4198,243
Q4200,Q4200,243
Q4201,Q4201,243
Q4202,Q4202,243
Q4203,Q4203,243
Q4204,Q4204,243
Q5001,Q5001,231
Q5002,Q5002,231
Q5003,Q5003,231
Q5004,Q5004,231
Q5005,Q5005,231
Q5006,Q5006,231
Q5007,Q5007,231
Q5008,Q5008,231
Q5009,Q5009,231
Q5010,Q5010,227
Q5101,Q5101,240
Q5102,Q5102,240
Q5103,Q5103,240
Q5104,Q5104,240
Q5105,Q5105,240
Q5106,Q5106,240
Q5107,Q5107,240
Q5108,Q5108,240
Q5109,Q5109,240
Q5110,Q5110,240
Q5111,Q5111,240
Q9920,Q9920,240
Q9921,Q9921,240
Q9922,Q9922,240
Q9923,Q9923,240
Q9924,Q9924,240
Q9925,Q9925,240
Q9926,Q9926,240
Q9927,Q9927,240
Q9928,Q9928,240
Q9929,Q9929,240
Q9930,Q9930,240
Q9931,Q9931,240
Q9932,Q9932,240
Q9933,Q9933,240
Q9934,Q9934,240
Q9935,Q9935,240
Q9936,Q9936,240
Q9937,Q9937,240
Q9938,Q9938,240
Q9939,Q9939,240
Q9940,Q9940,240
Q9941,Q9941,240
Q9942,Q9942,240
Q9943,Q9943,240
Q9944,Q9944,240
Q9945,Q9945,243
Q9946,Q9946,243
Q9947,Q9947,243
Q9948,Q9948,243
Q9949,Q9949,243
Q9950,Q9950,240
Q9951,Q9951,243
Q9952,Q9952,240
Q9953,Q9953,240
Q9954,Q9954,243
Q9955,Q9955,240
Q9956,Q9956,240
Q9957,Q9957,240
Q9958,Q9958,243
Q9959,Q9959,243
Q9960,Q9960,243
Q9961,Q9961,243
Q9962,Q9962,243
Q9963,Q9963,243
Q9964,Q9964,243
Q9965,Q9965,243
Q9966,Q9966,243
Q9967,Q9967,243
Q9968,Q9968,243
Q9969,Q9969,243
Q9970,Q9970,240
Q9972,Q9972,240
Q9973,Q9973,240
Q9974,Q9974,240
Q9976,Q9976,240
Q9977,Q9977,240
Q9978,Q9978,240
Q9979,Q9979,240
Q9980,Q9980,240
Q9981,Q9981,240
Q9982,Q9982,243
Q9983,Q9983,243
Q9991,Q9991,240
Q9992,Q9992,240
Q9993,Q9993,240
Q9994,Q9994,243
Q9995,Q9995,240
R0070,R0070,239
R0075,R0075,239
R0076,R0076,239
S0009,S0009,240
S0010,S0010,240
S0011,S0011,240
S0012,S0012,240
S0014,S0014,240
S0016,S0016,240
S0017,S0017,240
S0020,S0020,240
S0021,S0021,240
S0023,S0023,240
S0024,S0024,240
S0028,S0028,240
S0029,S0029,240
S0030,S0030,240
S0032,S0032,240
S0034,S0034,240
S0039,S0039,240
S0040,S0040,240
S0071,S0071,240
S0072,S0072,240
S0073,S0073,240
S0074,S0074,240
S0077,S0077,240
S0078,S0078,240
S0079,S0079,240
S0080,S0080,240
S0081,S0081,240
S0085,S0085,240
S0086,S0086,240
S0087,S0087,240
S0088,S0088,240
S0090,S0090,240
S0091,S0091,240
S0092,S0092,240
S0093,S0093,240
S0096,S0096,240
S0097,S0097,240
S0098,S0098,240
S0104,S0104,240
S0106,S0106,240
S0107,S0107,240
S0108,S0108,240
S0109,S0109,240
S0112,S0112,240
S0114,S0114,240
S0115,S0115,240
S0116,S0116,240
S0117,S0117,240
S0118,S0118,240
S0119,S0119,240
S0122,S0122,240
S0124,S0124,240
S0126,S0126,240
S0128,S0128,240
S0130,S0130,240
S0132,S0132,240
S0133,S0133,240
S0135,S0135,240
S0136,S0136,240
S0137,S0137,240
S0138,S0138,240
S0139,S0139,240
S0140,S0140,240
S0141,S0141,240
S0142,S0142,240
S0143,S0143,240
S0144,S0144,240
S0145,S0145,240
S0146,S0146,240
S0147,S0147,240
S0148,S0148,240
S0155,S0155,243
S0156,S0156,240
S0157,S0157,240
S0158,S0158,240
S0159,S0159,240
S0160,S0160,240
S0161,S0161,240
S0162,S0162,240
S0163,S0163,240
S0164,S0164,240
S0165,S0165,240
S0166,S0166,240
S0167,S0167,240
S0168,S0168,240
S0169,S0169,240
S0170,S0170,240
S0171,S0171,240
S0172,S0172,240
S0173,S0173,240
S0174,S0174,240
S0175,S0175,240
S0176,S0176,240
S0177,S0177,240
S0178,S0178,240
S0179,S0179,240
S0180,S0180,240
S0181,S0181,240
S0182,S0182,240
S0183,S0183,240
S0187,S0187,240
S0189,S0189,240
S0190,S0190,240
S0191,S0191,240
S0193,S0193,240
S0194,S0194,240
S0195,S0195,228
S0196,S0196,243
S0197,S0197,240
S0198,S0198,240
S0199,S0199,126
S0201,S0201,237
S0206,S0206,237
S0207,S0207,237
S0208,S0208,237
S0209,S0209,239
S0215,S0215,239
S0220,S0220,237
S0221,S0221,237
S0250,S0250,237
S0255,S0255,237
S0257,S0257,237
S0260,S0260,227
S0265,S0265,237
S0270,S0270,236
S0271,S0271,236
S0272,S0272,236
S0273,S0273,236
S0274,S0274,236
S0280,S0280,237
S0281,S0281,237
S0302,S0302,227
S0310,S0310,237
S0311,S0311,227
S0315,S0315,237
S0316,S0316,237
S0317,S0317,237
S0320,S0320,237
S0340,S0340,237
S0341,S0341,237
S0342,S0342,237
S0345,S0345,203
S0346,S0346,203
S0347,S0347,203
S0353,S0353,227
S0354,S0354,227
S0390,S0390,174
S0395,S0395,237
S0400,S0400,107
S0500,S0500,241
S0504,S0504,241
S0506,S0506,241
S0508,S0508,241
S0510,S0510,241
